A001|Walter White|wwhite@library.com|admin123|admin|
A002|Gustavo Fring|gfring@library.com|admin456|admin|
A003|Saul Goodman|sgoodman@library.com|admin789|admin|
L001|Jesse Pinkman|jpinkman@library.com|lib123|librarian|
L002|Skyler White|swhite@library.com|lib456|librarian|
L003|Hank Schrader|hschrader@library.com|lib789|librarian|
L004|Mike Ehrmantraut|mehrmantraut@library.com|lib012|librarian|
L005|Marie Schrader|mschrader@library.com|lib345|librarian|
U001|Walter White Jr.|wwhitejr@email.com|pass123|registered||0
U002|Holly White|hwhite@email.com|pass456|registered||0
U003|Tuco Salamanca|tsalamanca@email.com|pass789|registered||0
U004|Hector Salamanca|hsalamanca@email.com|pass012|registered||0
U005|Jane Margolis|jmargolis@email.com|pass345|registered||0
U006|Gale Boetticher|gboetticher@email.com|pass678|registered||0
U007|Ted Beneke|tbeneke@email.com|pass901|registered||0
U008|Lydia Rodarte-Quayle|lrodarte@email.com|pass234|registered||0
U009|Todd Alquist|talquist@email.com|pass567|registered||0
U010|Andrea Cantillo|acantillo@email.com|pass890|registered||0
U011|Brock Cantillo|bcantillo@email.com|pass1234|registered||0
U012|Donald Margolis|dmargolis@email.com|pass5678|registered||0
